Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn
6,64,1540,One year,Credit Card,No,1,0
21,113,1753,Month-to-month,Electronic Check,Yes,1,0
27,31,1455,Two year,Credit Card,No,1,0
53,29,7150,Month-to-month,Electronic Check,No,1,0
16,185,1023,One year,Electronic Check,No,1,0
55,44,7538,Two year,Electronic Check,No,0,0
66,99,4178,Two year,Bank Transfer,No,1,0
61,128,3088,Month-to-month,Bank Transfer,No,1,0
64,124,7973,Month-to-month,Credit Card,No,1,0
14,120,5844,One year,Bank Transfer,Yes,1,0
59,57,5168,One year,Credit Card,Yes,0,0
7,110,7282,Month-to-month,Electronic Check,No,1,1
53,86,3438,Month-to-month,Bank Transfer,Yes,1,0
8,158,6194,Month-to-month,Credit Card,No,1,1
53,58,768,Month-to-month,Credit Card,Yes,1,0
65,77,4071,Month-to-month,Credit Card,Yes,1,0
19,187,4874,Two year,Credit Card,No,0,0
42,101,3736,One year,Bank Transfer,Yes,0,0
7,156,5389,One year,Bank Transfer,Yes,0,1
26,105,6868,Month-to-month,Bank Transfer,Yes,1,0
38,137,1000,Month-to-month,Electronic Check,No,1,0
25,120,4855,Two year,Credit Card,Yes,0,0
60,40,1755,One year,Credit Card,No,1,0
30,100,3710,Two year,Credit Card,No,1,0
25,193,7565,Month-to-month,Bank Transfer,No,0,0
47,181,3295,One year,Credit Card,No,1,0
60,101,3741,Month-to-month,Bank Transfer,No,1,0
20,56,3950,One year,Bank Transfer,No,1,0
36,175,3682,One year,Bank Transfer,No,0,0
34,190,7540,One year,Bank Transfer,No,1,0
28,101,4643,One year,Electronic Check,Yes,1,0
10,196,4825,Month-to-month,Credit Card,Yes,0,1
43,182,7129,One year,Electronic Check,Yes,0,0
32,195,7139,One year,Bank Transfer,Yes,1,0
60,44,1302,One year,Credit Card,No,1,0
50,116,690,Month-to-month,Credit Card,No,1,0
37,42,947,Month-to-month,Electronic Check,No,0,0
62,166,6225,Two year,Electronic Check,Yes,1,0
50,84,858,Month-to-month,Credit Card,No,0,0
26,151,1952,Two year,Electronic Check,No,0,0
42,20,1950,Two year,Credit Card,Yes,1,0
7,148,2701,Two year,Credit Card,Yes,0,0
63,89,6547,One year,Electronic Check,Yes,0,0
42,123,3913,Month-to-month,Credit Card,No,1,0
34,93,3344,Two year,Credit Card,Yes,0,0
32,170,4773,Two year,Credit Card,No,1,0
22,46,7555,Month-to-month,Bank Transfer,No,1,0
37,162,3735,Month-to-month,Electronic Check,Yes,1,0
56,49,3376,Month-to-month,Bank Transfer,No,0,0
49,121,5161,One year,Bank Transfer,Yes,0,0
71,172,416,Month-to-month,Electronic Check,No,1,0
31,154,7537,Two year,Credit Card,Yes,1,0
53,48,1497,One year,Credit Card,No,0,0
49,68,2615,Month-to-month,Bank Transfer,Yes,1,0
9,157,7022,Month-to-month,Bank Transfer,No,0,1
47,54,6827,Two year,Bank Transfer,Yes,0,0
58,121,3537,One year,Credit Card,No,1,0
59,72,7053,Month-to-month,Bank Transfer,Yes,0,0
36,38,3792,One year,Bank Transfer,Yes,1,0
26,182,7074,Month-to-month,Credit Card,No,0,0
23,187,5608,Month-to-month,Electronic Check,No,1,0
10,195,4284,Two year,Electronic Check,No,0,1
53,128,5803,One year,Bank Transfer,No,0,0
25,176,4496,One year,Bank Transfer,No,1,0
65,180,4142,One year,Credit Card,Yes,0,0
3,140,2541,One year,Electronic Check,No,1,0
53,61,3631,One year,Bank Transfer,No,0,0
62,62,3016,Two year,Credit Card,Yes,0,0
2,102,1333,Two year,Credit Card,Yes,0,1
53,21,6828,One year,Credit Card,No,0,0
69,153,1418,Month-to-month,Electronic Check,No,0,0
68,153,1930,One year,Electronic Check,Yes,0,0
13,125,3696,Two year,Credit Card,No,1,0
2,152,2038,Month-to-month,Bank Transfer,No,0,1
70,77,7593,Two year,Electronic Check,Yes,0,0
35,170,936,One year,Bank Transfer,Yes,0,0
4,43,7302,Month-to-month,Credit Card,Yes,0,1
41,109,7937,Two year,Bank Transfer,Yes,1,0
8,95,3792,One year,Bank Transfer,Yes,1,0
47,138,6406,Two year,Credit Card,Yes,0,0
35,139,5211,Two year,Bank Transfer,No,0,0
30,162,3917,One year,Credit Card,No,0,0
